Normalized_ACC	Class	Order	Collapsed_Ord
0.069767442	Aquatic	Freshwater	Fresh water
0.068728522	Aquatic	Freshwater	Fresh water
0.068609023	Aquatic	Freshwater	Fresh water
0.067771084	Aquatic	Freshwater	Fresh water
0.067073171	Aquatic	Freshwater	Fresh water
0.066851008	Aquatic	Freshwater	Fresh water
0.066760365	Aquatic	Freshwater	Fresh water
0.066666667	Aquatic	Freshwater	Fresh water
0.065847234	Aquatic	Freshwater	Fresh water
0.065217391	Aquatic	Freshwater	Fresh water
0.065217391	Aquatic	Freshwater	Fresh water
0.064516129	Aquatic	Freshwater	Fresh water
0.064516129	Aquatic	Freshwater	Fresh water
0.06446281	Aquatic	Freshwater	Fresh water
0.064409496	Aquatic	Freshwater	Fresh water
0.064327485	Aquatic	Freshwater	Fresh water
0.064066852	Aquatic	Freshwater	Fresh water
0.064052288	Aquatic	Freshwater	Fresh water
0.06377858	Aquatic	Freshwater	Fresh water
0.063348416	Aquatic	Freshwater	Fresh water
0.062879708	Aquatic	Freshwater	Fresh water
0.062772926	Aquatic	Freshwater	Fresh water
0.06261343	Aquatic	Freshwater	Fresh water
0.061964403	Aquatic	Freshwater	Fresh water
0.061957151	Aquatic	Freshwater	Fresh water
0.061728395	Aquatic	Freshwater	Fresh water
0.061654135	Aquatic	Freshwater	Fresh water
0.06123348	Aquatic	Freshwater	Fresh water
0.060869565	Aquatic	Freshwater	Fresh water
0.060822898	Aquatic	Freshwater	Fresh water
0.060384263	Aquatic	Freshwater	Fresh water
0.060085837	Aquatic	Freshwater	Fresh water
0.060048038	Aquatic	Freshwater	Fresh water
0.059585492	Aquatic	Freshwater	Fresh water
0.059464817	Aquatic	Freshwater	Fresh water
0.059405941	Aquatic	Freshwater	Fresh water
0.059016393	Aquatic	Freshwater	Fresh water
0.058965102	Aquatic	Freshwater	Fresh water
0.058868502	Aquatic	Freshwater	Fresh water
0.058853119	Aquatic	Freshwater	Fresh water
0.058666667	Aquatic	Freshwater	Fresh water
0.058333333	Aquatic	Freshwater	Fresh water
0.058191018	Aquatic	Freshwater	Fresh water
0.058127018	Aquatic	Freshwater	Fresh water
0.057692308	Aquatic	Freshwater	Fresh water
0.057457213	Aquatic	Freshwater	Fresh water
0.057216055	Aquatic	Freshwater	Fresh water
0.057142857	Aquatic	Freshwater	Fresh water
0.056926752	Aquatic	Freshwater	Fresh water
0.056744649	Aquatic	Freshwater	Fresh water
0.056706652	Aquatic	Freshwater	Fresh water
0.056647698	Aquatic	Freshwater	Fresh water
0.056603774	Aquatic	Freshwater	Fresh water
0.056445461	Aquatic	Freshwater	Fresh water
0.055626598	Aquatic	Freshwater	Fresh water
0.055555556	Aquatic	Freshwater	Fresh water
0.055019853	Aquatic	Freshwater	Fresh water
0.054945055	Aquatic	Freshwater	Fresh water
0.054923627	Aquatic	Freshwater	Fresh water
0.054834055	Aquatic	Freshwater	Fresh water
0.054528651	Aquatic	Freshwater	Fresh water
0.054393305	Aquatic	Freshwater	Fresh water
0.05437788	Aquatic	Freshwater	Fresh water
0.053973013	Aquatic	Freshwater	Fresh water
0.053837002	Aquatic	Freshwater	Fresh water
0.053749171	Aquatic	Freshwater	Fresh water
0.053737513	Aquatic	Freshwater	Fresh water
0.053613054	Aquatic	Freshwater	Fresh water
0.053571429	Aquatic	Freshwater	Fresh water
0.053308129	Aquatic	Freshwater	Fresh water
0.053030303	Aquatic	Freshwater	Fresh water
0.052603183	Aquatic	Freshwater	Fresh water
0.052249637	Aquatic	Freshwater	Fresh water
0.051954023	Aquatic	Freshwater	Fresh water
0.051801802	Aquatic	Freshwater	Fresh water
0.051764706	Aquatic	Freshwater	Fresh water
0.051694286	Aquatic	Freshwater	Fresh water
0.051612903	Aquatic	Freshwater	Fresh water
0.051601423	Aquatic	Freshwater	Fresh water
0.051580699	Aquatic	Freshwater	Fresh water
0.051524711	Aquatic	Freshwater	Fresh water
0.051509769	Aquatic	Freshwater	Fresh water
0.050714286	Aquatic	Freshwater	Fresh water
0.050691244	Aquatic	Freshwater	Fresh water
0.050679852	Aquatic	Freshwater	Fresh water
0.050547897	Aquatic	Freshwater	Fresh water
0.0502693	Aquatic	Freshwater	Fresh water
0.050147493	Aquatic	Freshwater	Fresh water
0.050145349	Aquatic	Freshwater	Fresh water
0.04992	Aquatic	Freshwater	Fresh water
0.049681529	Aquatic	Freshwater	Fresh water
0.049436796	Aquatic	Freshwater	Fresh water
0.049429658	Aquatic	Freshwater	Fresh water
0.049191848	Aquatic	Freshwater	Fresh water
0.049145299	Aquatic	Freshwater	Fresh water
0.048996458	Aquatic	Freshwater	Fresh water
0.048960361	Aquatic	Freshwater	Fresh water
0.0488	Aquatic	Freshwater	Fresh water
0.048741782	Aquatic	Freshwater	Fresh water
0.048450935	Aquatic	Freshwater	Fresh water
0.04825518	Aquatic	Freshwater	Fresh water
0.04779607	Aquatic	Freshwater	Fresh water
0.047694754	Aquatic	Freshwater	Fresh water
0.047619048	Aquatic	Freshwater	Fresh water
0.047569804	Aquatic	Freshwater	Fresh water
0.047564688	Aquatic	Freshwater	Fresh water
0.047560976	Aquatic	Freshwater	Fresh water
0.047550432	Aquatic	Freshwater	Fresh water
0.04734946	Aquatic	Freshwater	Fresh water
0.047270306	Aquatic	Freshwater	Fresh water
0.04726939	Aquatic	Freshwater	Fresh water
0.0472103	Aquatic	Freshwater	Fresh water
0.04719764	Aquatic	Freshwater	Fresh water
0.046877173	Aquatic	Freshwater	Fresh water
0.046875	Aquatic	Freshwater	Fresh water
0.046758767	Aquatic	Freshwater	Fresh water
0.046757164	Aquatic	Freshwater	Fresh water
0.046625222	Aquatic	Freshwater	Fresh water
0.046594982	Aquatic	Freshwater	Fresh water
0.046532847	Aquatic	Freshwater	Fresh water
0.046499745	Aquatic	Freshwater	Fresh water
0.046431046	Aquatic	Freshwater	Fresh water
0.046232877	Aquatic	Freshwater	Fresh water
0.046075085	Aquatic	Freshwater	Fresh water
0.045918367	Aquatic	Freshwater	Fresh water
0.04587156	Aquatic	Freshwater	Fresh water
0.045229244	Aquatic	Freshwater	Fresh water
0.044859813	Aquatic	Freshwater	Fresh water
0.044836957	Aquatic	Freshwater	Fresh water
0.044729802	Aquatic	Freshwater	Fresh water
0.044486216	Aquatic	Freshwater	Fresh water
0.044471896	Aquatic	Freshwater	Fresh water
0.044072948	Aquatic	Freshwater	Fresh water
0.043981481	Aquatic	Freshwater	Fresh water
0.043961597	Aquatic	Freshwater	Fresh water
0.043675016	Aquatic	Freshwater	Fresh water
0.043579767	Aquatic	Freshwater	Fresh water
0.043507818	Aquatic	Freshwater	Fresh water
0.043324492	Aquatic	Freshwater	Fresh water
0.043286867	Aquatic	Freshwater	Fresh water
0.043103448	Aquatic	Freshwater	Fresh water
0.042918455	Aquatic	Freshwater	Fresh water
0.042783505	Aquatic	Freshwater	Fresh water
0.042715484	Aquatic	Freshwater	Fresh water
0.042553191	Aquatic	Freshwater	Fresh water
0.042492918	Aquatic	Freshwater	Fresh water
0.042451504	Aquatic	Freshwater	Fresh water
0.042402827	Aquatic	Freshwater	Fresh water
0.042328042	Aquatic	Freshwater	Fresh water
0.042198079	Aquatic	Freshwater	Fresh water
0.04213881	Aquatic	Freshwater	Fresh water
0.041617122	Aquatic	Freshwater	Fresh water
0.041605839	Aquatic	Freshwater	Fresh water
0.041322314	Aquatic	Freshwater	Fresh water
0.041166381	Aquatic	Freshwater	Fresh water
0.040918164	Aquatic	Freshwater	Fresh water
0.040836653	Aquatic	Freshwater	Fresh water
0.040783034	Aquatic	Freshwater	Fresh water
0.040764867	Aquatic	Freshwater	Fresh water
0.040697674	Aquatic	Freshwater	Fresh water
0.040676363	Aquatic	Freshwater	Fresh water
0.040650407	Aquatic	Freshwater	Fresh water
0.040650407	Aquatic	Freshwater	Fresh water
0.040625	Aquatic	Freshwater	Fresh water
0.040540541	Aquatic	Freshwater	Fresh water
0.040420372	Aquatic	Freshwater	Fresh water
0.040372671	Aquatic	Freshwater	Fresh water
0.03992016	Aquatic	Freshwater	Fresh water
0.039780521	Aquatic	Freshwater	Fresh water
0.039718129	Aquatic	Freshwater	Fresh water
0.039665971	Aquatic	Freshwater	Fresh water
