	observed_species	shannon	singles
Ga0164309	149.0	6.61209680037	118.0
Ga0075015	217.0	7.45336742529	181.0
Ga0066706	208.0	7.29178653131	155.0
Ga0066685	161.0	6.94327824819	121.0
Ga0066660	199.0	7.30689959559	154.0
Ga0075289	49.0	5.56970231698	44.0
Ga0075530	42.0	5.358519763	39.0
GOS2248	18.0	4.095795255	14.0
Ga0073899	62.0	5.27627693851	50.0
Ga0126312	84.0	5.95796207463	60.0
Ga0164308	148.0	6.48737474014	100.0
Ga0079221	232.0	7.48856488976	183.0
Ga0066673	134.0	6.72894392545	99.0
Ga0075461	57.0	5.68327647896	48.0
Ga0116186	22.0	3.87060450823	18.0
FNTS007	73.0	5.99368509118	63.0
Ga0075369	204.0	6.88604062787	149.0
Ga0066401	25.0	4.48228923749	17.0
FACENCEE	48.0	5.51556259687	47.0
Ga0075460	46.0	5.47685499713	44.0
Ga0105248	98.0	6.16069300666	66.0
FNTS	49.0	5.54387478809	43.0
Ga0182000	74.0	5.85408679134	45.0
Ga0164302	133.0	6.66204273744	90.0
Ga0058698	38.0	5.11584701036	33.0
Ga0157310	56.0	5.42879722076	45.0
FNTS067	58.0	5.73750195602	47.0
Ga0075458	39.0	4.56470355307	27.0
Ga0181523	22.0	4.36371327575	19.0
Ga0075423	84.0	5.94435908051	54.0
NICFPass4MCCDRAFT	3.0	1.58496250072	3.0
Ga0105242	146.0	6.69405913014	96.0
Ga0137392	35.0	4.83140184539	24.0
Ga0126308	54.0	4.80692467704	39.0
Ga0129342	16.0	3.16157083518	15.0
Ga0116156	27.0	4.61213161916	24.0
Ga0126306	103.0	6.19791659559	70.0
Ga0126314	77.0	5.63294908252	51.0
Ga0066412	18.0	4.16992500144	18.0
Ga0126311	99.0	5.9245173491	73.0
Ga0126310	76.0	5.64535751067	55.0
Ga0182001	78.0	5.75935861682	50.0
Ga0129333	105.0	6.61627399349	92.0
Ga0129336	45.0	5.27577205946	32.0
Ga0137379	58.0	5.41498504769	36.0
Ga0164243	80.0	5.90004636461	63.0
Ga0126309	69.0	5.28900978753	50.0
Ga0137374	59.0	5.58028224466	42.0
Ga0074072	26.0	4.5625	22.0
LCrCPGB2aDRAFT	11.0	3.32486295762	9.0
LCrCPGB2	7.0	2.75	6.0
B570J40625	182.0	7.17751077629	148.0
Ga0079957	42.0	5.34964891258	38.0
Ga0134125	55.0	5.36587575944	40.0
Ga0126304	72.0	5.70511626589	58.0
Ga0126383	93.0	6.1263777202	61.0
Ga0126377	103.0	6.21615048672	67.0
Ga0105246	154.0	6.58623655653	102.0
Ga0058702	23.0	4.31990257979	19.0
Ga0114942	59.0	5.81601624266	52.0
Ga0114129	93.0	6.05328739638	59.0
Ga0105058	19.0	3.78001117	17.0
BBAY75	291.0	7.98729684698	262.0
BBAY69	180.0	7.26441060272	145.0
JGI12577J12838	6.0	2.58496250072	6.0
EMG	28.0	4.73629671354	26.0
Ga0157306	44.0	5.24118034839	37.0
Ga0157309	42.0	5.11530335952	35.0
Ga0157295	32.0	4.4406741738	23.0
Ga0157300	23.0	4.16144578892	19.0
Ga0181519	26.0	4.55365167626	18.0
Ga0157289	43.0	5.07465701506	37.0
Ga0157286	56.0	5.57270228082	42.0
Ga0075418	87.0	5.97293582471	56.0
Ga0157303	32.0	4.81207571251	27.0
Ga0132256	149.0	6.61409704201	98.0
Ga0111539	102.0	6.06387555646	71.0
MBSR1b	11.0	3.39274741045	9.0
MRS1b	12.0	3.54659356429	11.0
Ga0157284	39.0	4.97866970855	32.0
Ga0157308	39.0	4.97557893582	28.0
Ga0157293	45.0	5.2129858459	39.0
Ga0157287	21.0	4.10637731682	19.0
