Collapsed_Eco	lat	long
Fresh water	43.1998	-86.5698
Fresh water	43.1998	-86.5698
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	47.0956	-99.1001
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	47.0956	-99.1001
Fresh water	47.0956	-99.1001
Fresh water	47.0956	-99.1001
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	47.0991	-99.1044
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	51.62	-128.09
Fresh water	44.560318	-110.8338344
Fresh water	44.533365	-110.849887
Fresh water	44.7649458	-110.4303679
Fresh water	44.733519	-110.404033
Fresh water	44.733519	-110.404033
Fresh water	44.533365	-110.849887
Fresh water	44.376	-110.69
Fresh water	44.376	-110.69
Fresh water	44.376	-110.69
Fresh water	44.376	-110.69
Fresh water	44.7219	-110.7021
Fresh water	44.6102	-110.4387
Fresh water	44.6102	-110.4387
Fresh water	40.67	-119.37
Fresh water	40.67	-119.37
Fresh water	40.653	-119.3749
Fresh water	40.653	-119.3749
Fresh water	37.6906	-118.8442
Fresh water	40.71458	-119.369659
Fresh water	40.71458	-119.369659
Fresh water	40.65833	-119.37772
Fresh water	40.653	-119.3749
Fresh water	25.4413	98.46
Fresh water	25.4401	98.4408
Fresh water	25.4413	98.46
Fresh water	37.6906	-118.8442
Fresh water	44.564833 N	110.863250 W
Fresh water	44.761133	-110.7309
Fresh water	44.539	-110.798
Fresh water	44.963	-110.715
Fresh water	44.963	-110.715
Fresh water	44.963	-110.715
Fresh water	44.963	-110.715
Fresh water	44.539	-110.798
Fresh water	44.963	-110.715
Fresh water	44.534	-110.7978
Fresh water	44.534	-110.7978
Fresh water	44.534	-110.7978
Fresh water	44.534	-110.7978
Fresh water	25.44138	98.46004
Fresh water	40.71458	-119.369659
Fresh water	40.71458	-119.369659
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	44.61	-110.44
Fresh water	48.972613	-119.477608
Fresh water	48.972613	-119.477608
Fresh water	48.972613	-119.477608
Fresh water	60.1987	-125.5127
Fresh water	49.9543	-116.5155
Fresh water	49.9543	-116.5155
Fresh water	37.4127	-118.504
Fresh water	37.4127	-118.504
Fresh water	39.0314	-122.4323
Fresh water	44.611006	-110.440182
Fresh water	44.611006	-110.440182
Fresh water	44.611006	-110.440182
Fresh water	39.039162	-122.42147
Fresh water	39.039162	-122.42147
Fresh water	49.9543	-116.5155
Fresh water	34.9956	-98.6889
Fresh water	-22.6092	30.1749
Fresh water	37.4127	-118.504
Fresh water	39.039162	-122.42147
Fresh water	-22.5304	30.6814
Fresh water	34.9956	-98.6889
Host-associated	9.1167	-79.7
Host-associated	9.1167	-79.7
Host-associated	9.1167	-79.7
Host-associated	54.719167	-119.663611
Host-associated	54.719167	-119.663611
Host-associated	54.719167	-119.663611
Host-associated	31.5	-90.9
Host-associated	9.1167	-79.7
Host-associated	46.916667	7.516667
Host-associated	43.07	-89.4
Host-associated	43.07	-89.4
Host-associated	43.07	-89.4
Host-associated	43.07	-89.4
Host-associated	43.07	-89.4
Host-associated	43.07	-89.4
Host-associated	43.78	-88.79
Host-associated	43.07	-89.4
Host-associated	43.78	-88.79
Host-associated	43.07	-89.4
Host-associated	5.0626	-53.0462
Host-associated	0.2917	34.856
Host-associated	0.2917	34.856
Host-associated	0.2917	34.856
Host-associated		
Host-associated		
Host-associated	26.0625	-80.2332
Host-associated	26.0625	-80.2332
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	9.116667	-79.7
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
